
aerodrome,مطار
farmland,أرض زراعية
farmyard,فناء مزرعة
forest,غابة
grass,عشب
greenfield,حقول خضراء
industrial,منطقة صناعية
landfill,مكب نفايات
meadow,مرج
military,منطقة عسكرية
mine,منجم
mountain,جبل
nature_reserve,محمية طبيعية
park,منتزه
piste,منطقة تزحلق
plaza,ساحة
quarry,كسّارة
railway,سكة حديدية
recreation_ground,ميدان ألعاب
reservoir,خزان
residential,منطقة سكنية
retail,بيع بالمفرق
village_green,أرض خضراء
vineyard,كرم عنب
wetland,أرض رطبة
wood,حرج
beach_resort,شاطئ منتجع
common,أرض مشاع
fishing,منطقة صيد سمك
garden,حديقة
golf_course,ملعب غولف
ice_rink,حلبة تزلج على الجليد
marina,مارينا
miniature_golf,جولف مصغر
nature_reserve,محمية طبيعية
park,منتزه
pitch,ملعب رياضي
playground,ملعب
recreation_ground,ميدان ألعاب
slipway,مزلقة
sports_centre,مركز رياضي
stadium,مدرج ألعاب رياضية
swimming_pool,بركة سباحة
track,مضمار سباق
water_park,منتزه ألعاب مائية
bay,خليج
beach,شاطئ
cape,رأس (أرض داخلة في البحر(
cave_entrance,مدخل كهف
channel,قناة
cliff,جرف
coastline,خط ساحلي
crater,فوهة بركان
feature,ميزة
fell,منحدر
fjord,مضيق بحري
geyser,نافورة ماء حار
glacier,نهر/بحر جليدي
heath,أرض بور
hill,تلة
island,جزيرة
land,أرض
marsh,سبخة
moor,أرض جرداء
mud,وحل
peak,ذروة
point,نقطة
reef,سلسلة صخور قرب سطح الماء
ridge,أرض مرتفعة
river,نهر
rock,صخرة
scree,أرض حصاة
scrub,أشجار منخفضة
shoal,مياه ضحلة
spring,نبع
strait,مضيق جبلي
tree,شجرة
valley,وادي
volcano,بركان
water,ماء
wetland,أرض رطبة
wetlands,أراضي رطبة
wood,حرج
city,مدينة
country,دولة
county,مقاطعة
farm,مزرعة
hamlet,كفر
house,منزل
houses,منازل
island,جزيرة
islet,جزيرة صغيرة
locality,محلة
moor,أرض جرداء
municipality,بلدية
postcode,الرمز البريدي
region,منطقة
sea,بحر
state,ولاية
subdivision,التقسيم الفرعي
suburb,ضاحية
town,بلدة
unincorporated_area,مساحة غير منظمة
village,قرية
abandoned,سكة حديد مهجورة
construction,سكة حديدية تحت الإنشاء
disused,سكة حديد مهجورة
disused_station,محطة سكة حديد مهجورة
funicular,سكة حديدية معلقة
halt,موقف قطار
historic_station,محطة سكة حديد تاريخية
junction,تقاطع سكك حديدية
level_crossing,تقاطع سكك حديدية
light_rail,قطار خفيف
monorail,قطار ذات سكة حديد واحدة
narrow_gauge,سكة حديد ضيقة
platform,رصيف محطة قطار
preserved,سكة حديدية تراثية
spur,خط تفرع سكة حديدية
station,محطة قطار
subway,محطة مترو الأنفاق
subway_entrance,مدخل مترو
switch,مبدل السكة الحديدية
tram,سكة ترام
tram_stop,موقف ترام
yard,فناء سكة حديد
alcohol,متجر كحول للبيع الخارجي
apparel,متجر ملابس
art,متجر فن
bakery,مخبز
beauty,صالون تجميل
beverages,متجر مشروبات
bicycle,متجر دراجات
books,متجر كتب
butcher,جزار
car,متجر سيارات
car_dealer,تاجر سيارات
car_parts,قطع غيار سيارات
car_repair,مرآب سيارات
carpet,معرض سجاد
charity,متجر جمعية خيرية
chemist,صيدلي
clothes,متجر ألبسة
computer,متجر كمبيوتر
confectionery,متجر الحلويات
convenience,متجر للأغراض اليومية
copyshop,محل تصوير مستندات
cosmetics,بائع مستحضرات تجميل
department_store,متجر متعدد الأقسام
discount,محل رخصة
doityourself,براعة منزلية
drugstore,صيدلية
dry_cleaning,تنظيف جاف
electronics,متجر إلكترونيات
estate_agent,وكيل عقاري
farm,متجر منتوجات زراعية
fashion,متجر أزياء
fish,متجر أسماك
florist,بائع زهور
food,دكان مأكولات
funeral_directors,وكلاء ترتيبات جنازة
furniture,أثاث
gallery,معرض
garden_centre,متجر للسلع الزراعية
general,متجر عام
gift,متجر هدايا
greengrocer,محل خضروات
grocery,بقالة
hairdresser,مزين/مصفف شعر
hardware,متجر عتاد
hifi,متجر هاي فاي
insurance,بوليصات تأمين
jewelry,متجر مجوهرات
kiosk,كشك
laundry,مصبغة
mall,مركز تسوق
market,سوق
mobile_phone,متجر هواتف محمولة
motorcycle,متجر دراجات نارية
music,متجر موسيقى
newsagent,وكالة أنباء
optician,نظاراتي
organic,متجر أغذية عضوية
outdoor,متجر للنشاطات الخارجية
pet,متجر حيوانات أليفة
photo,متجر صور
salon,صالون
shoes,متجر أحذية
shopping_centre,مركز التسوق
sports,متجر رياضة
stationery,محل قرطاسية
supermarket,سوبرماركت
toys,متجر ألعاب
travel_agency,وكالة سفر
video,متجر فيديو
wine,متجر نبيذ للبيع الخارجي
alpine_hut,كوخ جبلي
artwork,عمل فني
attraction,معلم سياحي
bed_and_breakfast,سرير وفطار
cabin,حُجرة أو مقصورة
camp_site,موقع تخييم
caravan_site,موقع قافلة
chalet,شاليه
guest_house,بيت ضيافة
hostel,سكن شباب
hotel,فندق
information,معلومات
lean_to,كوخ منحدر
motel,نُزل
museum,متحف
picnic_site,موقع بيك نيك
theme_park,حديقة ملاهي
valley,وادي
viewpoint,موقع كاشف
zoo,حديقة حيوانات
boatyard,حوض سفن
canal,قناة
connector,قناة مائية
dam,سدّ
derelict_canal,قناة مهجورة
ditch,خندق
dock,مرسى
drain,مسرب
lock,قفل
lock_gate,هويس
mineral_spring,نبع مياه معدنية
mooring,مرسى
rapids,منحدرات نهرية
river,نهر
riverbank,ضفة نهر
stream,جدول
wadi,وادي
water_point,نقطة ماء شفة
waterfall,شلال
weir,هدار (سدّ منخفض)
