
aerodrome,Aerborzh
artwork,Oberenn arz
attraction,Tra zedennus
bed_and_breakfast,Bod ha boued
cabin,Kabanenn
camp_site,Tachenn gampiñ
caravan_site,Tachenn karavanennoù
chalet,Ti-menez
guest_house,Ti ostizien
hostel,Herberc'h
hotel,Leti
information,Titouroù
lean_to,Stand
motel,Motel
museum,Mirdi
picnic_site,Lec'hienn biknikañ
theme_park,Park tematek
valley,Traoñienn
viewpoint,Gwelva
zoo,Zoo
boatyard,Chanter bigi
canal,Kanol
connector,Kevreadur dourredennoù
dam,Chaoser
derelict_canal,Kanol dilezet
ditch,Foz
dock,Dok
drain,Dizourer
lock,Skluz
lock_gate,Dor skluz
mineral_spring,Mammenn dour melar
mooring,Fes
rapids,Taranoù
river,Stêr
riverbank,Strad ar stêr
stream,Gwazh-dour
wadi,Oued
water_point,Lec'h dour
waterfall,Lamm-dour
weir,Stankell
