aerodrome,Repülőtér
cave_entrance,Barlangbejárat
channel,Csatorna
cliff,Szikla
coastline,Tengerpart
crater,Kráter
feature,Tereptárgy
fell,Kopár
fjord,Fjord
geyser,Gejzír
glacier,Gleccser
heath,Puszta
hill,Domb
island,Sziget
land,Szárazföld
marsh,Mocsár
moor,Mocsár
mud,Iszap
peak,Hegycsúcs
point,Pont
reef,Zátony
ridge,Hegygerinc
river,Folyó
rock,Szikla
scree,Sziklatörmelék
scrub,Cserjés
shoal,Zátony
spring,Forrás
strait,Tengerszoros
tree,Fa
valley,Völgy
volcano,Vulkán
water,Tó
wetland,Láp
wetlands,Láp
wood,Erdő
city,Nagyváros
city,Város
country,Ország
county,Megye
district,Kerület
farm,Tanya
hamlet,Község
house,Ház
houses,Házak
island,Sziget
islet,Kis sziget
locality,Hely
moor,Mocsár
municipality,Település
postcode,Irányítószám
region,Régió
sea,Tenger
state,Állam
subdivision,Településrész
suburb,Városrész
town,Város
unincorporated_area,Jogi személyiséggel nem rendelkező terület
village,Nagyközség
abandoned,Felhagyott vasút
construction,Építés alatt álló vasút
disused,Használaton kívüli vasút
disused_station,Használaton kívüli vasútállomás
funicular,Siklóvasút
halt,Vasúti megállóhely
historic_station,Megszűnt vasútállomás
junction,Vasúti csomópont
level_crossing,Vasúti átjáró
light_rail,HÉV
monorail,Egysínű vasút
narrow_gauge,Keskeny nyomtávú vasút
platform,Peron
preserved,Megőrzött vasút
spur,Vasúti szárnyvonal
station,Vasútállomás
subway,Metróállomás
subway_entrance,Metrókijárat
switch,Váltó
tram,Villamos
tram_stop,Villamosmegálló
yard,Rendező-pályaudvar
alcohol,Alkoholos italbolt
apparel,Ruházati bolt
art,Művészeti bolt
bakery,Pékség
beauty,Szépészeti bolt
beverages,Italbolt
bicycle,Kerékpárbolt
books,Könyvesbolt
butcher,Hentes
car,Autókereskedés
car_dealer,Autókereskedés
car_parts,Autóalkatrész
car_repair,Autószerviz
carpet,Szőnyegbolt
charity,Adománybolt
chemist,Vegyipari bolt
clothes,Ruhabolt
computer,Számítástechnika
confectionery,Cukrászda
convenience,Kisbolt
copyshop,Fénymásoló
cosmetics,Kozmetikus
department_store,Áruház
discount,Diszkontárubolt
doityourself,Barkácsbolt
drugstore,Dogéria
dry_cleaning,Ruhatisztító
electronics,Elektronikai bolt
estate_agent,Ingatlankereskedés
farm,Farm
fashion,Divatbolt
fish,Halbolt
florist,Virágárus
food,Élelmiszerbolt
funeral_directors,Temetkezési vállalkozó
furniture,Bútorbolt
gallery,Galéria
garden_centre,Kertészet
general,Vegyeskereskedés
gift,Ajándékbolt
greengrocer,Zöldséges
grocery,Fűszerbolt
hairdresser,Fodrászat
hardware,Szerelési bolt
hifi,Hi-Fi bolt
insurance,Biztosító
jewelry,Ékszerbolt
kiosk,Trafik
laundry,Mosoda
mall,Üzletház
market,Piac
mobile_phone,Mobiltelefonbolt
motorcycle,Motorbolt
music,Zenebolt
newsagent,Újságárus
optician,Látszerész
organic,Biobolt
outdoor,Túrabolt
pet,Állatkereskedés
photo,Fotóbolt
salon,Szalon
shoes,Cipőbolt
shopping_centre,Bevásárlóközpont
sports,Sportbolt
stationery,Írószerbolt
supermarket,Szupermarket
toys,Játékbolt
travel_agency,Utazási iroda
video,Videókölcsönző
wine,Borárusító italbolt
alpine_hut,Hegyi kunyhó
artwork,Műalkotás
attraction,Látnivaló
bed_and_breakfast,Vendégház
cabin,Kunyhó
camp_site,Kemping
caravan_site,Lakókocsitábor
chalet,Nyaralóház
guest_house,Vendégház
hostel,Turistaszálló
hotel,Szálloda
information,Információ
lean_to,Kunyhó
motel,Motel
museum,Múzeum
picnic_site,Piknikezőhely
theme_park,Vidámpark
valley,Völgy
viewpoint,Kilátó
zoo,Állatkert
boatyard,Hajóhangár
canal,Csatorna
connector,Vízi csatlakozó
dam,Gát
derelict_canal,Felhagyott csatorna
ditch,Árok
dock,Kikötõ
drain,Kiépített árok
lock,Zsilip
lock_gate,Zsilip
mineral_spring,Ásványvízforrás
mooring,Kikötő
rapids,Zuhatag
river,Folyó
riverbank,Folyópart
stream,Patak
wadi,Vádi
water_point,Vízi fordítópont
waterfall,Vízesés
weir,Bukógát
